,Serial_Number
1936,270480051
1937,270480054
1938,270480057
1939,270550007
1940,270550015
1941,270550103
1942,270560006
1943,270560045
1944,270560047
1945,270560049
1946,270560050
1947,270560051
1948,270570001
1951,270570002
1952,270570003
1953,270570010
1954,270570011
1955,280050014
1956,280070012
1957,280070025
1958,280080037
1959,280150017
1960,280220011
1961,280220022
1962,280220023
1963,280220085
1964,280220107
1965,280390002
1966,290010012
1967,290010034
1968,290010104
1969,290030017
1970,290050051
1971,290050053
1972,290060013
1973,290080022
1974,290110005
1975,290130044
1976,290160035
1977,290210038
1978,290210057
1979,290210058
1980,290220037
1981,290220052
1982,290220056
1983,290240027
1984,290240028
1985,290250004
1986,290250052
1987,290300024
1988,290340067
1989,290350105
1990,290350106
1991,290350129
1992,290360080
1993,290400130
1994,290400135
1995,290410068
1996,290410103
1997,290410133
1998,290420044
2001,290420046
2002,290420050
2003,290420053
2004,290420060
2005,290440063
2006,290500106
2007,290510016
2008,290510147
2009,290510153
2010,290510166
2011,290510185
2012,290510186
2013,290610016
2014,290620068
2015,290630014
2016,300010063
2017,300010075
2018,300040154
2019,300040160
2020,300090041
2021,300090052
2022,300110056
2023,300110066
2024,300120014
2025,300140038
2026,300150028
2027,300150030
2028,300150032
2029,300150047
2030,300160042
2031,300160060
2032,300160061
2033,300160063
2034,300200041
2035,300210029
2036,300220023
2037,300220041
2038,300230001
2039,300230057
2040,300250229
2041,300260018
2042,300260084
2043,300260100
2044,300300066
2045,300330016
2046,300350031
2047,300350046
2048,300350143
2051,300360018
2052,300360020
2053,300360098
2054,300360105
2055,300360106
2056,300370208
2057,300380062
2058,300380073
2059,300380218
2060,300390192
2061,300390199
2062,300390260
2063,300400128
2064,300400138
2065,300410041
2066,300410043
2067,300410056
2068,300410060
2069,300420086
2070,300460083
2071,300460092
2072,300460093
2073,300460094
2074,300460102
2075,300460103
2076,300460106
2077,300460118
2078,300460119
2079,300470037
2080,300480016
2081,300510008
2082,300510032
2083,300540300
2084,300540339
2085,300540340
2086,300550002
2087,300610015
2088,300610018
2089,300620047
2090,300650005
2091,300650011
2092,300650016
2093,300650054
2094,300650075
2095,300660025
2096,300670024
2097,300690014
2098,300690122
2101,300710072
2102,300710080
2103,300720028
2104,300730087
2105,300730129
2106,300730182
2107,300730251
2108,300730260
2109,300740251
2110,300740265
2111,300740269
2112,300750116
2113,300770219
2114,300770224
2115,300780107
2116,300780173
2117,300780222
2118,300780229
2119,300780269
2120,300780284
2121,300780292
2122,300780312
2123,300790024
2124,300790039
2125,300790066
2126,300800020
2127,300810039
2128,300840093
2129,300850021
2130,300850026
2131,300850029
2132,300870021
2133,300880005
2134,300890063
2135,300890066
2136,300890071
2137,300910040
2138,300910043
2139,300910046
2140,300930014
2141,300930017
2142,300930018
2143,300930021
2144,300930025
2145,300970011
2146,310030001
2147,310040001
2148,310060019
2151,310070001
2152,310120005
2153,310130001
2154,310130007
2155,310130008
2156,310140001
2157,310140013
2158,310140014
2159,310140015
2160,310180002
2161,310190001
2162,310200001
2163,310210001
2164,310220007
2165,310220008
2166,310220010
2167,310220011
2168,310230002
2169,310230003
2170,310230004
2171,310240002
2172,310250008
2173,310290001
2174,310340003
2175,320030040
2176,320040134
2177,320070020
2178,320110081
2179,320150028
2180,320160051
2181,320160057
2182,320160064
2183,320160078
2184,320170039
2185,320170102
2186,320170139
2187,320170145
2188,320170148
2189,320170149
2190,320170152
2191,320170155
2192,320180208
2193,320180289
2194,320180357
2195,320210008
2196,320210022
2197,320210043
2198,320210055
2201,320210063
2202,320240014
2203,320400067
2204,320400068
2205,320400073
2206,320490013
2207,320490030
2208,320490037
2209,320490038
2210,320490043
2211,320540007
2212,320570001
2213,320610006
2214,320610009
2215,320660006
2216,320670004
2217,320780029
2218,320850003
2219,320850018
